User,User,Id,ExecutionTime
user00,0,14661
user01,1,9363
user02,2,11828
user03,3,12975
user04,4,8793
user05,5,14368
user06,6,11140
user07,7,7945
user08,8,15866
user09,9,13309
user10,10,8557
user11,11,15360
user12,12,14140
user13,13,10131
user14,14,19366
user15,15,15050
user16,16,7693
user17,17,11254
user18,18,13386
user19,19,7796
user20,20,11709
user21,21,13490
user22,22,7653
user23,23,11214
user24,24,13363
user25,25,7682
user26,26,11979
user27,27,13632
user28,28,8068
user29,29,11967
user30,30,13294
user31,31,7780
user32,32,3212
user33,33,6578
user34,34,3311
user35,35,5049
user36,36,3420
user37,37,3302
user38,38,5127
user39,39,4875
user40,40,3309
user41,41,5725
user42,42,5371
user43,43,2760
user44,44,4340
user45,45,4554
user46,46,3546
user47,47,5377
user48,48,0
