Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,1193,379,1108,647,120,138,0,0,0
UFPelH1,1,1916,974,25,863,1006,85,0,0,0
UFPelH2,2,200,377,476,45,78,346,1876,1241,205
UFPelH3,3,608,25,401,284,255,163,1040,1705,288
UFSMH4,4,430,196,148,302,1164,805,401,0,0
UFSMH5,5,1954,0,88,437,57,1007,1540,202,0
UFSMH6,6,741,248,271,1036,313,655,0,0,0
UFSMH7,7,250,617,279,214,1850,410,17,136,0
IFSulH8,8,1132,148,252,175,1015,585,520,0,0
IFSulH9,9,301,451,189,18,365,1375,1013,215,0
IFSulH10,10,623,451,527,219,1394,1085,0,0,0
IFSulH11,11,659,340,279,1207,320,281,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
