Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,1920,590,1061,588,120,138,0,0,0
UFPelH1,1,1478,1014,53,300,1409,343,0,0,0
UFPelH2,2,220,457,438,38,432,440,2149,312,161
UFPelH3,3,180,0,50,427,487,121,757,1991,484
UFSMH4,4,614,62,59,341,240,1870,445,34,0
UFSMH5,5,1878,51,73,407,70,1380,1322,17,0
UFSMH6,6,913,253,329,345,763,1030,34,0,0
UFSMH7,7,1781,369,762,1347,514,172,17,136,0
IFSulH8,8,1075,150,293,133,802,966,405,0,0
IFSulH9,9,514,426,110,341,135,1438,781,318,0
IFSulH10,10,598,476,426,141,2256,266,0,0,0
IFSulH11,11,1298,108,338,1134,590,281,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
