Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,2207,400,0,0,0,0,0,0,0
UFPelH1,1,10842,100,1100,400,200,125,0,0,0
UFPelH2,2,5126,200,0,0,0,274,0,591,6600
UFPelH3,3,76,48,76,0,24,0,0,0,12667
UFSMH4,4,0,0,0,0,377,125,451,176,5606
UFSMH5,5,2368,716,0,0,171,2279,649,352,400
UFSMH6,6,1598,509,1400,1909,491,0,0,0,0
UFSMH7,7,121,100,500,471,500,375,1300,352,648
IFSulH8,8,2385,1520,240,100,0,0,0,0,0
IFSulH9,9,0,0,0,0,905,0,751,808,3471
IFSulH10,10,4024,200,598,746,314,53,0,0,200
IFSulH11,11,0,100,0,76,0,285,372,1084,3836
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
