Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,2069,200,0,0,332,10,0,0,6337
UFPelH1,1,0,0,0,0,0,0,2,0,3258
UFPelH2,2,0,0,0,0,1863,0,0,249,6636
UFPelH3,3,2416,400,651,100,713,8,902,809,2849
UFSMH4,4,0,0,0,0,331,1267,12,17,3230
UFSMH5,5,976,100,0,0,1046,507,884,232,2230
UFSMH6,6,951,239,0,75,144,123,1166,661,2516
UFSMH7,7,0,0,603,106,599,867,1256,687,589
IFSulH8,8,0,102,0,0,529,280,321,2460,1086
IFSulH9,9,1602,391,228,1019,366,3,99,328,842
IFSulH10,10,0,0,0,895,2131,125,114,448,297
IFSulH11,11,1266,372,800,172,428,125,901,2,462
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
