User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,14784032
user00,0,UFPel,2,64636
user00,0,UFPel,3,18754056
user01,1,UFSM,5,26062028
user01,1,UFSM,6,52924
user01,1,UFSM,7,7485341
user02,2,IFSul,8,22700354
user02,2,IFSul,11,10900173
user03,3,UFPel,0,24096043
user03,3,UFPel,1,535511
user03,3,UFPel,2,24743
user03,3,UFPel,3,8944340
user04,4,UFSM,4,9200135
user04,4,UFSM,5,5700050
user04,4,UFSM,6,27664
user04,4,UFSM,7,18672715
user05,5,IFSul,9,74960
user05,5,IFSul,10,33525463
user06,6,UFPel,1,33600204
user07,7,UFSM,4,5657768
user07,7,UFSM,5,5455743
user07,7,UFSM,6,188002
user07,7,UFSM,7,22298911
user08,8,IFSul,9,95482
user08,8,IFSul,10,33504849
user09,9,UFPel,0,25984012
user09,9,UFPel,1,7450013
user09,9,UFPel,2,166178
user10,10,UFSM,4,7500062
user10,10,UFSM,5,26100268
user11,11,IFSul,8,11022342
user11,11,IFSul,9,135720
user11,11,IFSul,10,10842067
user11,11,IFSul,11,11600259
user12,12,UFPel,0,16557214
user12,12,UFPel,1,16847085
user12,12,UFPel,2,195910
user13,13,UFSM,5,13300097
user13,13,UFSM,6,146976
user13,13,UFSM,7,20153611
user14,14,IFSul,8,9300102
user14,14,IFSul,10,16700177
user14,14,IFSul,11,7600200
user15,15,UFPel,0,11195138
user15,15,UFPel,1,13100094
user15,15,UFPel,2,206964
user15,15,UFPel,3,9098235
user16,16,UFSM,4,2700155
user16,16,UFSM,6,124560
user16,16,UFSM,7,13976429
user17,17,IFSul,9,77760
user17,17,IFSul,10,12022530
user17,17,IFSul,11,4700247
user18,18,UFPel,0,13438066
user18,18,UFPel,2,62182
user18,18,UFPel,3,3300426
user19,19,UFSM,7,16801090
user20,20,IFSul,8,10049795
user20,20,IFSul,9,50560
user20,20,IFSul,10,6700137
user21,21,UFPel,0,4700077
user21,21,UFPel,2,124104
user21,21,UFPel,3,11976979
user22,22,UFSM,5,7900215
user22,22,UFSM,7,8900683
user23,23,IFSul,8,8500290
user23,23,IFSul,10,8300167
user24,24,UFPel,0,5300123
user24,24,UFPel,1,7400157
user24,24,UFPel,3,4100000
user25,25,UFSM,4,3200217
user25,25,UFSM,5,3867425
user25,25,UFSM,6,150760
user25,25,UFSM,7,9582692
user26,26,IFSul,8,3400083
user26,26,IFSul,10,13400356
user27,27,UFPel,0,8700172
user27,27,UFPel,1,3327822
user27,27,UFPel,2,144634
user27,27,UFPel,3,4627672
user28,28,UFSM,5,16689739
user28,28,UFSM,6,110616
user29,29,IFSul,9,169600
user29,29,IFSul,10,16630801
user30,30,UFPel,0,4876822
user30,30,UFPel,1,7700199
user30,30,UFPel,2,123330
user30,30,UFPel,3,4100639
user31,31,UFSM,4,5700292
user31,31,UFSM,5,11100254
user32,32,IFSul,9,121660
user32,32,IFSul,10,1078430
user32,32,IFSul,11,800219
user33,33,UFPel,0,200040
user33,33,UFPel,1,1800187
user34,34,UFSM,4,200029
user34,34,UFSM,5,1648262
user34,34,UFSM,6,151867
user35,35,IFSul,8,1400168
user35,35,IFSul,10,400032
user35,35,IFSul,11,200042
user36,36,UFPel,0,603399
user36,36,UFPel,1,500069
user36,36,UFPel,2,96652
user36,36,UFPel,3,800512
user37,37,UFSM,4,1400352
user37,37,UFSM,5,600040
user38,38,IFSul,8,700059
user38,38,IFSul,10,900082
user38,38,IFSul,11,400116
user39,39,UFPel,1,1051780
user39,39,UFPel,2,48326
user39,39,UFPel,3,901515
user40,40,UFSM,4,1600163
user40,40,UFSM,7,400140
user41,41,IFSul,8,1145038
user41,41,IFSul,9,104460
user41,41,IFSul,10,750679
user42,42,UFPel,0,1200079
user42,42,UFPel,1,446614
user42,42,UFPel,2,353450
user43,43,UFSM,4,400071
user43,43,UFSM,7,1600373
user44,44,IFSul,8,300031
user44,44,IFSul,9,55080
user44,44,IFSul,10,544956
user44,44,IFSul,11,1100173
user45,45,UFPel,0,1100057
user45,45,UFPel,1,200016
user45,45,UFPel,3,700070
user46,46,UFSM,5,700052
user46,46,UFSM,6,400008
user46,46,UFSM,7,900233
user47,47,IFSul,9,560859
user47,47,IFSul,10,939350
user47,47,IFSul,11,500103
