User,User,Id,ExecutionTime
user00,0,4545
user01,1,3159
user02,2,3671
user03,3,4442
user04,4,3661
user05,5,3909
user06,6,4728
user07,7,3727
user08,8,3245
user09,9,4517
user10,10,5184
user11,11,4060
user12,12,4778
user13,13,3727
user14,14,4119
user15,15,3502
user16,16,3196
user17,17,3294
user18,18,3739
user19,19,2803
user20,20,2750
user21,21,3703
user22,22,2858
user23,23,2749
user24,24,3915
user25,25,2589
user26,26,3235
user27,27,2318
user28,28,3124
user29,29,3259
user30,30,3240
user31,31,3178
user32,32,1233
user33,33,1379
user34,34,1209
user35,35,1342
user36,36,1359
user37,37,1370
user38,38,1220
user39,39,1505
user40,40,1369
user41,41,1380
user42,42,1442
user43,43,1285
user44,44,1263
user45,45,1149
user46,46,1211
user47,47,1308
user48,48,0
