Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,30,2,98,0,1269,5,286,316,6294
UFPelH1,1,0,0,0,0,1442,252,0,0,6503
UFPelH2,2,0,0,0,0,0,0,0,302,8098
UFPelH3,3,2134,200,0,534,88,812,120,1678,2834
UFSMH4,4,1016,0,504,100,1321,125,0,0,2276
UFSMH5,5,0,0,0,0,2,559,382,0,4457
UFSMH6,6,0,100,0,112,1050,252,602,474,4177
UFSMH7,7,2643,400,100,837,378,394,522,882,711
IFSulH8,8,102,200,256,44,1638,423,339,461,777
IFSulH9,9,0,347,0,124,1376,1312,166,166,1254
IFSulH10,10,787,600,164,1060,264,278,80,52,855
IFSulH11,11,0,0,0,0,285,180,1216,118,601
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
