Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,577,100,353,417,92,1404,350,438
UFPelH1,1,199,200,0,0,2216,265,0,180,776
UFPelH2,2,470,100,106,273,897,154,0,440,759
UFPelH3,3,0,0,0,0,131,1195,999,176,598
UFSMH4,4,347,443,89,350,2201,630,0,34,44
UFSMH5,5,371,156,107,170,131,921,808,370,840
UFSMH6,6,0,0,0,2,486,1004,176,367,1186
UFSMH7,7,335,0,282,106,239,414,957,648,793
IFSulH8,8,0,10,0,0,482,1547,910,795,41
IFSulH9,9,967,600,0,824,616,235,203,244,196
IFSulH10,10,1631,201,101,99,1148,354,153,0,298
IFSulH11,11,255,118,241,796,259,113,1144,389,314
BurstH12,12,1202,2736,0,0,0,0,0,0,0
BurstH13,13,1993,1643,0,0,0,0,0,0,0
BurstH14,14,2135,0,0,0,0,0,0,0,0
BurstH15,15,3631,0,0,0,0,0,0,0,0
