Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,1104,745,528,1376,229,138,0,0,0
UFPelH1,1,1365,1100,50,798,1032,46,0,0,0
UFPelH2,2,100,427,426,45,413,1040,1555,224,161
UFPelH3,3,446,25,426,233,219,456,1126,1197,363
UFSMH4,4,303,336,149,399,532,1314,556,0,0
UFSMH5,5,1777,52,24,399,131,697,2005,56,0
UFSMH6,6,935,323,102,121,1321,750,0,0,0
UFSMH7,7,1852,716,161,1336,817,206,17,136,0
IFSulH8,8,1094,100,402,92,1065,709,403,0,0
IFSulH9,9,101,426,164,311,203,1222,919,319,0
IFSulH10,10,648,451,477,331,1930,266,0,0,0
IFSulH11,11,1141,142,519,961,720,281,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,4245,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
