User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,1286922
user00,0,UFPel,1,1187772
user00,0,UFPel,2,828788
user00,0,UFPel,3,30296566
user01,1,UFSM,5,17000005
user01,1,UFSM,6,894
user01,1,UFSM,7,16599145
user02,2,IFSul,8,25898072
user02,2,IFSul,9,185958
user02,2,IFSul,10,10740
user02,2,IFSul,11,7505271
user03,3,UFPel,0,565012
user03,3,UFPel,1,148292
user03,3,UFPel,2,45674
user03,3,UFPel,3,32841087
user04,4,UFSM,4,4195510
user04,4,UFSM,5,29392828
user04,4,UFSM,6,11678
user05,5,IFSul,8,5559032
user05,5,IFSul,9,233366
user05,5,IFSul,10,17058
user05,5,IFSul,11,27790590
user06,6,UFPel,0,1417192
user06,6,UFPel,1,91130
user06,6,UFPel,2,77586
user06,6,UFPel,3,32014172
user07,7,UFSM,4,2392823
user07,7,UFSM,5,22187426
user07,7,UFSM,6,28772
user07,7,UFSM,7,8991055
user08,8,IFSul,10,37476
user08,8,IFSul,11,33562628
user09,9,UFPel,0,258024
user09,9,UFPel,1,106756
user09,9,UFPel,2,44620
user09,9,UFPel,3,33190690
user10,10,UFSM,4,20389248
user10,10,UFSM,5,13199991
user10,10,UFSM,6,10808
user11,11,IFSul,8,20500043
user11,11,IFSul,9,185352
user11,11,IFSul,10,21540
user11,11,IFSul,11,12893138
user12,12,UFPel,0,1339936
user12,12,UFPel,1,132828
user12,12,UFPel,2,102864
user12,12,UFPel,3,32024419
user13,13,UFSM,4,9300024
user13,13,UFSM,5,24300016
user14,14,IFSul,8,18874040
user14,14,IFSul,9,125986
user14,14,IFSul,10,13510
user14,14,IFSul,11,14586536
user15,15,UFPel,0,2402278
user15,15,UFPel,1,179688
user15,15,UFPel,2,92756
user15,15,UFPel,3,30925351
user16,16,UFSM,4,17200047
user16,16,UFSM,6,10
user16,16,UFSM,7,16399999
user17,17,IFSul,8,16264095
user17,17,IFSul,9,440984
user17,17,IFSul,10,24546
user17,17,IFSul,11,16870430
user18,18,UFPel,0,601575
user18,18,UFPel,1,10776
user18,18,UFPel,2,138265
user18,18,UFPel,3,32849430
user19,19,UFSM,4,9078412
user19,19,UFSM,5,24500004
user19,19,UFSM,6,21588
user20,20,IFSul,8,24098181
user20,20,IFSul,9,352736
user20,20,IFSul,10,49142
user20,20,IFSul,11,9100011
user21,21,UFPel,0,2386368
user21,21,UFPel,1,1095263
user21,21,UFPel,2,112678
user21,21,UFPel,3,30005765
user22,22,UFSM,4,9180523
user22,22,UFSM,5,20600016
user22,22,UFSM,6,27892
user22,22,UFSM,7,3791636
user23,23,IFSul,11,33600081
user24,24,UFPel,0,2105659
user24,24,UFPel,1,709910
user24,24,UFPel,2,249122
user24,24,UFPel,3,30535406
user25,25,UFSM,4,9785639
user25,25,UFSM,5,11000010
user25,25,UFSM,6,14399
user25,25,UFSM,7,12800004
user26,26,IFSul,8,27729041
user26,26,IFSul,9,171012
user26,26,IFSul,11,5700008
user27,27,UFPel,0,807006
user27,27,UFPel,1,2107672
user27,27,UFPel,2,41482
user27,27,UFPel,3,30643913
user28,28,UFSM,4,15067635
user28,28,UFSM,5,18440938
user28,28,UFSM,6,91466
user29,29,IFSul,8,16700013
user29,29,IFSul,9,257980
user29,29,IFSul,10,2980
user29,29,IFSul,11,16639066
user30,30,UFPel,0,2286712
user30,30,UFPel,1,20284
user30,30,UFPel,2,21456
user30,30,UFPel,3,31271597
user31,31,UFSM,4,9200023
user31,31,UFSM,5,16600008
user31,31,UFSM,6,36000
user31,31,UFSM,7,7764107
user32,32,IFSul,8,5500006
user32,32,IFSul,9,188972
user32,32,IFSul,10,35372
user32,32,IFSul,11,27875702
user33,33,UFPel,0,2326422
user33,33,UFPel,1,13756
user33,33,UFPel,2,6556
user33,33,UFPel,3,31253326
user34,34,UFSM,5,33600040
user35,35,IFSul,8,24309153
user35,35,IFSul,9,170964
user35,35,IFSul,10,126838
user35,35,IFSul,11,8993119
user36,36,UFPel,0,1004232
user36,36,UFPel,1,4172
user36,36,UFPel,2,8344
user36,36,UFPel,3,32583290
user37,37,UFSM,4,20462222
user37,37,UFSM,6,37788
user37,37,UFSM,7,13100214
user38,38,IFSul,8,1888608
user38,38,IFSul,9,504844
user38,38,IFSul,10,97686
user38,38,IFSul,11,31108906
user39,39,UFPel,0,2612324
user39,39,UFPel,1,860075
user39,39,UFPel,2,82410
user39,39,UFPel,3,30045224
user40,40,UFSM,4,24000013
user40,40,UFSM,5,9600010
user41,41,IFSul,8,32974016
user41,41,IFSul,9,545670
user41,41,IFSul,10,80384
user42,42,UFPel,0,2683024
user42,42,UFPel,1,71460
user42,42,UFPel,2,126340
user42,42,UFPel,3,30719257
user43,43,UFSM,4,26300042
user43,43,UFSM,7,7300051
user44,44,IFSul,8,25260834
user44,44,IFSul,9,1069446
user44,44,IFSul,10,13708
user44,44,IFSul,11,7256063
user45,45,UFPel,0,3752836
user45,45,UFPel,1,1896913
user45,45,UFPel,2,114992
user45,45,UFPel,3,27835289
user46,46,UFSM,4,7500012
user46,46,UFSM,5,26036404
user46,46,UFSM,6,63604
user47,47,IFSul,8,24344868
user47,47,IFSul,9,394188
user47,47,IFSul,10,58760
user47,47,IFSul,11,8802239
user48,48,UFPel,0,2463248
user48,48,UFPel,1,2313134
user48,48,UFPel,2,854818
user48,48,UFPel,3,27968842
user49,49,UFSM,4,26162528
user49,49,UFSM,6,68684
user49,49,UFSM,7,7368924
user50,50,IFSul,8,18544056
user50,50,IFSul,9,858289
user50,50,IFSul,10,2682
user50,50,IFSul,11,14195013
user51,51,UFPel,0,348228
user51,51,UFPel,1,2140987
user51,51,UFPel,2,418400
user51,51,UFPel,3,30692480
user52,52,UFSM,4,12959536
user52,52,UFSM,5,12999989
user52,52,UFSM,6,83998
user52,52,UFSM,7,7556565
user53,53,IFSul,9,9500000
user53,53,IFSul,11,24100069
user54,54,UFPel,0,1651313
user54,54,UFPel,1,3627020
user54,54,UFPel,2,464160
user54,54,UFPel,3,27857605
user55,55,UFSM,4,24285430
user55,55,UFSM,5,9140610
user55,55,UFSM,6,174004
user56,56,IFSul,8,17000046
user56,56,IFSul,9,7400000
user56,56,IFSul,11,9200019
user57,57,UFPel,0,2568225
user57,57,UFPel,1,4350964
user57,57,UFPel,2,32250
user57,57,UFPel,3,26648689
user58,58,UFSM,4,21938660
user58,58,UFSM,5,11495200
user58,58,UFSM,6,166184
user59,59,IFSul,8,15100056
user59,59,IFSul,11,18500028
user60,60,UFPel,0,2449033
user60,60,UFPel,1,1478384
user60,60,UFPel,2,15794
user60,60,UFPel,3,29656841
user61,61,UFSM,5,18700004
user61,61,UFSM,6,1
user61,61,UFSM,7,14900074
user62,62,IFSul,8,24400042
user62,62,IFSul,10,46510
user62,62,IFSul,11,9153503
user63,63,UFPel,0,4612063
user63,63,UFPel,1,49766
user63,63,UFPel,2,962207
user63,63,UFPel,3,27976065
user64,64,UFSM,4,3300002
user64,64,UFSM,5,3500007
user64,64,UFSM,6,113391
user64,64,UFSM,7,9886823
user65,65,IFSul,8,16705845
user65,65,IFSul,10,94206
user66,66,UFPel,0,3018747
user66,66,UFPel,1,47864
user66,66,UFPel,2,627510
user66,66,UFPel,3,13105914
user67,67,UFSM,5,12400034
user67,67,UFSM,6,46794
user67,67,UFSM,7,4353384
user68,68,IFSul,8,3581423
user68,68,IFSul,9,8601909
user68,68,IFSul,10,134106
user68,68,IFSul,11,4482636
user69,69,UFPel,0,4835573
user69,69,UFPel,1,50176
user69,69,UFPel,2,83856
user69,69,UFPel,3,11830451
user70,70,UFSM,5,12600038
user70,70,UFSM,6,32396
user70,70,UFSM,7,4167730
user71,71,IFSul,8,8300049
user71,71,IFSul,9,5461618
user71,71,IFSul,10,58188
user71,71,IFSul,11,2980243
user72,72,UFPel,0,2953326
user72,72,UFPel,1,10728
user72,72,UFPel,2,1157624
user72,72,UFPel,3,12678392
user73,73,UFSM,5,16697465
user73,73,UFSM,6,102588
user74,74,IFSul,8,9579661
user74,74,IFSul,9,3200010
user74,74,IFSul,10,108886
user74,74,IFSul,11,3911529
user75,75,UFPel,0,7499116
user75,75,UFPel,1,147640
user75,75,UFPel,2,219384
user75,75,UFPel,3,8933897
user76,76,UFSM,4,8800006
user76,76,UFSM,5,3900012
user76,76,UFSM,6,54003
user76,76,UFSM,7,4046159
user77,77,IFSul,8,11292044
user77,77,IFSul,9,5262037
user77,77,IFSul,10,245980
user78,78,UFPel,0,4443290
user78,78,UFPel,1,1049829
user78,78,UFPel,2,1956152
user78,78,UFPel,3,9350807
user79,79,UFSM,4,8300030
user79,79,UFSM,5,1900003
user79,79,UFSM,6,55794
user79,79,UFSM,7,6544458
user80,80,IFSul,8,16635636
user80,80,IFSul,10,164388
user81,81,UFPel,0,427752
user81,81,UFPel,1,1167737
user81,81,UFPel,2,2867598
user81,81,UFPel,3,12336962
user82,82,UFSM,4,16800081
user83,83,IFSul,8,8826846
user83,83,IFSul,9,4597421
user83,83,IFSul,10,212980
user83,83,IFSul,11,3162815
user84,84,UFPel,0,8644177
user84,84,UFPel,1,631466
user84,84,UFPel,2,2077666
user84,84,UFPel,3,5446748
user85,85,UFSM,4,7400028
user85,85,UFSM,5,9400024
user86,86,IFSul,8,4356210
user86,86,IFSul,9,6094241
user86,86,IFSul,10,371980
user86,86,IFSul,11,5977605
user87,87,UFPel,0,8206366
user87,87,UFPel,1,138904
user87,87,UFPel,2,945252
user87,87,UFPel,3,7509583
user88,88,UFSM,4,4600011
user88,88,UFSM,5,4000014
user88,88,UFSM,7,8200273
user89,89,IFSul,9,8050817
user89,89,IFSul,10,345588
user89,89,IFSul,11,8403661
user90,90,UFPel,0,6352786
user90,90,UFPel,1,4768
user90,90,UFPel,2,1616574
user90,90,UFPel,3,8825967
user91,91,UFSM,4,9400044
user91,91,UFSM,5,4600013
user91,91,UFSM,7,2800126
user92,92,IFSul,8,1790817
user92,92,IFSul,9,9700034
user92,92,IFSul,10,338710
user92,92,IFSul,11,4970515
user93,93,UFPel,0,8994699
user93,93,UFPel,1,178232
user93,93,UFPel,2,427094
user93,93,UFPel,3,7200037
user94,94,UFSM,4,9600021
user94,94,UFSM,5,2700006
user94,94,UFSM,7,4500200
user95,95,IFSul,8,5022749
user95,95,IFSul,9,11600025
user95,95,IFSul,10,177288
user96,96,UFPel,1,281564
user96,96,UFPel,2,3963886
user96,96,UFPel,3,12554594
user97,97,UFSM,5,1300001
user97,97,UFSM,7,15500474
user98,98,IFSul,9,13220058
user98,98,IFSul,10,246288
user98,98,IFSul,11,3333729
user99,99,UFPel,0,14681997
user99,99,UFPel,1,156100
user99,99,UFPel,2,1961960
user100,100,UFSM,4,6600032
user100,100,UFSM,5,4600015
user100,100,UFSM,7,5600222
user101,101,IFSul,8,1000008
user101,101,IFSul,9,15665636
user101,101,IFSul,10,134400
user102,102,UFPel,0,10804213
user102,102,UFPel,2,3079413
user102,102,UFPel,3,2916405
user103,103,UFSM,4,2300009
user103,103,UFSM,5,4600011
user103,103,UFSM,7,9900379
user104,104,IFSul,9,5600011
user104,104,IFSul,11,11200082
user105,105,UFPel,0,6132742
user105,105,UFPel,1,3576
user105,105,UFPel,2,4108670
user105,105,UFPel,3,6555055
user106,106,UFSM,4,5200027
user106,106,UFSM,5,5200010
user106,106,UFSM,7,6400303
user107,107,IFSul,9,13900030
user107,107,IFSul,11,2900012
user108,108,UFPel,0,8100022
user108,108,UFPel,2,503432
user108,108,UFPel,3,8196616
user109,109,UFSM,5,2000004
user109,109,UFSM,7,14800609
user110,110,IFSul,9,1700003
user110,110,IFSul,10,295800
user110,110,IFSul,11,14804299
user111,111,UFPel,0,9661017
user111,111,UFPel,1,900000
user111,111,UFPel,2,2339009
user111,111,UFPel,3,3900016
user112,112,UFSM,4,4100020
user112,112,UFSM,5,9400013
user112,112,UFSM,7,3300159
user113,113,IFSul,9,6100008
user113,113,IFSul,11,10700116
user114,114,UFPel,0,9452271
user114,114,UFPel,1,3401000
user114,114,UFPel,2,646760
user114,114,UFPel,3,3300024
user115,115,UFSM,4,11600016
user115,115,UFSM,7,5200205
user116,116,IFSul,11,16800083
user117,117,UFPel,0,7597555
user117,117,UFPel,1,4264540
user117,117,UFPel,2,237936
user117,117,UFPel,3,4700026
user118,118,UFSM,4,9000033
user118,118,UFSM,7,7800264
user119,119,IFSul,9,10300007
user119,119,IFSul,11,6500064
user120,120,UFPel,0,13083777
user120,120,UFPel,1,3716264
user121,121,UFSM,4,8500051
user121,121,UFSM,5,5100006
user121,121,UFSM,7,3200143
user122,122,IFSul,8,10637463
user122,122,IFSul,10,462576
user122,122,IFSul,11,5700019
user123,123,UFPel,1,2321412
user123,123,UFPel,2,4949051
user123,123,UFPel,3,9529622
user124,124,UFSM,4,10800021
user124,124,UFSM,5,2600006
user124,124,UFSM,7,3400143
user125,125,IFSul,9,8400024
user125,125,IFSul,10,81596
user125,125,IFSul,11,8318470
user126,126,UFPel,0,2528195
user126,126,UFPel,1,10137206
user126,126,UFPel,2,44296
user126,126,UFPel,3,4090371
user127,127,UFSM,4,4800031
user127,127,UFSM,5,3200009
user127,127,UFSM,7,8800364
user128,128,IFSul,8,700003
user128,128,IFSul,9,1000016
user128,128,IFSul,11,300006
user129,129,UFPel,1,600003
user129,129,UFPel,2,1400025
user130,130,UFSM,4,1080689
user130,130,UFSM,5,300004
user130,130,UFSM,6,19318
user130,130,UFSM,7,600082
user131,131,IFSul,8,400002
user131,131,IFSul,9,700010
user131,131,IFSul,11,900013
user132,132,UFPel,1,700009
user132,132,UFPel,2,1300021
user133,133,UFSM,5,1029098
user133,133,UFSM,6,70908
user133,133,UFSM,7,900147
user134,134,IFSul,8,1000012
user134,134,IFSul,11,1000010
user135,135,UFPel,1,400003
user135,135,UFPel,2,1600027
user136,136,UFSM,4,200000
user136,136,UFSM,5,1512171
user136,136,UFSM,6,87838
user136,136,UFSM,7,200048
user137,137,IFSul,8,700009
user137,137,IFSul,9,400006
user137,137,IFSul,11,900021
user138,138,UFPel,1,800012
user138,138,UFPel,2,1200018
user139,139,UFSM,4,750798
user139,139,UFSM,5,300003
user139,139,UFSM,6,49202
user139,139,UFSM,7,900117
user140,140,IFSul,8,1300008
user140,140,IFSul,9,500007
user140,140,IFSul,11,200000
user141,141,UFPel,1,900009
user141,141,UFPel,2,1100012
user142,142,UFSM,4,949598
user142,142,UFSM,5,547204
user142,142,UFSM,6,103204
user142,142,UFSM,7,400029
user143,143,IFSul,8,700002
user143,143,IFSul,9,400005
user143,143,IFSul,11,900013
user144,144,UFPel,1,1500018
user144,144,UFPel,2,500008
user145,145,UFSM,4,1372891
user145,145,UFSM,6,27118
user145,145,UFSM,7,600052
user146,146,IFSul,8,1400010
user146,146,IFSul,11,600008
user147,147,UFPel,0,1100007
user147,147,UFPel,2,900014
user148,148,UFSM,4,900005
user148,148,UFSM,5,643365
user148,148,UFSM,6,56636
user148,148,UFSM,7,400053
user149,149,IFSul,8,1000002
user149,149,IFSul,11,1000026
user150,150,UFPel,1,900016
user150,150,UFPel,2,1100014
user151,151,UFSM,5,839767
user151,151,UFSM,6,89754
user151,151,UFSM,7,1070578
user152,152,IFSul,8,600001
user152,152,IFSul,9,600009
