Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,0,655245
UFPelH1,1,0,0,0,0,0,0,0,0,587840
UFPelH2,2,0,0,0,0,0,0,0,0,443400
UFPelH3,3,0,0,0,0,0,0,0,0,650406
UFSMH4,4,0,0,0,0,0,0,0,0,1176225
UFSMH5,5,0,0,0,0,0,0,0,0,1421144
UFSMH6,6,0,0,0,0,0,0,0,0,379741
UFSMH7,7,0,0,0,0,0,0,0,0,1170190
IFSulH8,8,0,0,0,0,0,0,0,0,720042
IFSulH9,9,0,0,0,0,0,0,0,0,851188
IFSulH10,10,0,0,0,0,0,0,0,0,239033
IFSulH11,11,0,0,0,0,0,0,0,0,742855
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
