Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,0,110071
UFPelH1,1,0,0,0,0,0,0,0,0,34692
UFPelH2,2,0,0,0,0,0,0,0,0,108184
UFPelH3,3,0,0,0,0,0,0,0,0,90480
UFSMH4,4,0,0,0,0,2,0,0,0,76062
UFSMH5,5,0,0,0,0,0,0,2,0,77818
UFSMH6,6,0,0,0,0,0,0,0,0,22147
UFSMH7,7,0,0,0,0,0,2,0,0,62529
IFSulH8,8,0,0,0,0,0,0,0,2,70913
IFSulH9,9,0,0,0,0,0,0,0,2,61938
IFSulH10,10,0,0,0,0,0,0,0,2,41998
IFSulH11,11,39291,2644,955,882,3353,856,774,319,22041
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
