Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,17,165,1352,1129,1938
UFPelH1,1,0,0,0,153,100,574,1092,1554,1892
UFPelH2,2,0,40,330,210,507,796,383,25,1825
UFPelH3,3,492,138,11,160,0,168,1022,1201,1592
UFSMH4,4,0,200,1488,99,328,294,1001,299,1908
UFSMH5,5,0,1575,100,184,168,808,790,432,2086
UFSMH6,6,177,124,51,27,270,137,597,980,2096
UFSMH7,7,1359,1535,1077,578,410,113,179,219,47
IFSulH8,8,0,0,0,0,0,168,789,1493,2509
IFSulH9,9,0,0,0,209,336,279,985,374,2412
IFSulH10,10,0,0,2069,147,303,38,778,912,2255
IFSulH11,11,259,2398,602,639,586,1029,899,368,140
BurstH12,12,10,2746,2264,1223,0,0,0,0,0
BurstH13,13,0,2,0,8,100,1575,1302,1591,2467
BurstH14,14,2,0,8,1398,645,1509,2396,444,0
BurstH15,15,0,2,0,1213,1612,628,1407,1899,0
