Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,462,332,800,455,194,484,442,846
UFPelH1,1,96,0,222,388,511,1383,1137,98,176
UFPelH2,2,200,72,0,461,38,802,464,1152,1755
UFPelH3,3,0,0,0,26,73,467,284,1523,1782
UFSMH4,4,200,453,242,344,144,587,726,1284,441
UFSMH5,5,436,14,251,97,17,334,880,729,1288
UFSMH6,6,0,0,0,100,38,231,1437,1242,1036
UFSMH7,7,200,2144,513,818,529,539,482,294,444
IFSulH8,8,0,2232,493,790,638,365,311,18,598
IFSulH9,9,1540,394,50,327,184,452,577,844,1177
IFSulH10,10,0,0,0,0,804,168,617,873,1423
IFSulH11,11,1898,945,473,1651,905,213,109,299,13
BurstH12,12,0,10,2104,1613,849,1238,0,0,0
BurstH13,13,0,3501,628,1076,1401,0,0,0,0
BurstH14,14,0,10,2586,502,1988,0,0,0,0
BurstH15,15,0,2,0,0,1239,633,969,1426,2137
