Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,12171,3143,1403,1631,468,155,478,1555,1552
UFPelH1,1,0,0,0,0,0,2,0,0,5821
UFPelH2,2,0,0,0,0,0,0,0,2,22490
UFPelH3,3,0,0,0,0,0,0,0,10,20529
UFSMH4,4,0,2213,1272,101,396,90,367,1175,4210
UFSMH5,5,0,0,0,0,2,0,0,0,11893
UFSMH6,6,0,0,0,0,0,0,0,2,7070
UFSMH7,7,0,0,0,0,1043,280,1981,141,6524
IFSulH8,8,0,0,0,0,0,0,0,2,17192
IFSulH9,9,0,0,3022,100,446,0,482,38,9020
IFSulH10,10,0,0,0,0,0,0,0,2,3941
IFSulH11,11,2394,1184,449,226,160,0,151,0,0
BurstH12,12,0,0,0,0,2,0,8,0,20216
BurstH13,13,0,0,0,2,0,0,8,0,19933
BurstH14,14,0,0,0,0,0,2,0,0,19090
BurstH15,15,0,0,0,0,2,0,0,0,17021
