Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,8663,1600,500,726,100,0,2,162,9193
UFPelH1,1,11196,600,500,500,785,88,0,442,11808
UFPelH2,2,0,176,0,0,0,30,0,0,25789
UFPelH3,3,1844,476,0,0,0,31,0,0,23668
UFSMH4,4,1192,300,0,0,476,0,0,0,17937
UFSMH5,5,0,100,0,0,1633,127,0,0,19819
UFSMH6,6,3849,673,873,227,25,243,0,0,12824
UFSMH7,7,5237,400,500,0,27,0,0,0,15615
IFSulH8,8,3839,300,0,347,0,0,0,130,15298
IFSulH9,9,0,25,100,0,0,94,0,0,19620
IFSulH10,10,242,100,0,0,349,125,0,0,18436
IFSulH11,11,4998,1252,604,937,56,151,175,502,9548
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
