User,User,Id,ExecutionTime
user00,0,25145
user01,1,18133
user02,2,19075
user03,3,23875
user04,4,18613
user05,5,19839
user06,6,25995
user07,7,20044
user08,8,18254
user09,9,25200
user10,10,21779
user11,11,19914
user12,12,26019
user13,13,19905
user14,14,19252
user15,15,19209
user16,16,19114
user17,17,18423
user18,18,21909
user19,19,17499
user20,20,16641
user21,21,20946
user22,22,17226
user23,23,15280
user24,24,22967
user25,25,13791
user26,26,18263
user27,27,11300
user28,28,18714
user29,29,18223
user30,30,19710
user31,31,19821
user32,32,6981
user33,33,7847
user34,34,7522
user35,35,8072
user36,36,8821
user37,37,7990
user38,38,8114
user39,39,9242
user40,40,7775
user41,41,8136
user42,42,9321
user43,43,7492
user44,44,7178
user45,45,7948
user46,46,7391
user47,47,8426
user48,48,0
