Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,2,14377
UFPelH1,1,0,0,0,0,234,616,151,526,13644
UFPelH2,2,0,0,0,0,0,0,0,2,11398
UFPelH3,3,0,0,0,0,0,0,788,50,13290
UFSMH4,4,0,0,0,0,0,0,722,556,9447
UFSMH5,5,0,0,0,0,0,0,0,2,10410
UFSMH6,6,648,142,208,23,19,13,154,7,9335
UFSMH7,7,0,0,0,0,0,0,0,2,9598
IFSulH8,8,0,0,0,0,0,0,0,102,11374
IFSulH9,9,0,0,100,841,167,381,188,6,9586
IFSulH10,10,0,0,0,0,0,0,0,2,7498
IFSulH11,11,0,0,0,0,0,0,0,354,14268
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
