Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,2014,448,517,274,1095,492,433,407,515
UFPelH1,1,3547,502,763,292,29,35,343,1004,2342
UFPelH2,2,150,50,302,100,25,585,53,32,7610
UFPelH3,3,1294,1,25,0,25,467,319,231,6595
UFSMH4,4,200,451,25,0,119,52,498,0,5249
UFSMH5,5,200,1754,25,0,0,63,125,690,5501
UFSMH6,6,934,380,266,107,29,333,161,616,3317
UFSMH7,7,1256,42,0,723,270,573,675,644,2421
IFSulH8,8,1782,137,22,343,83,101,40,233,4138
IFSulH9,9,200,151,176,200,116,147,202,225,5613
IFSulH10,10,387,449,326,100,535,71,46,592,4424
IFSulH11,11,894,734,410,528,179,954,580,421,1068
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
